station_id,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
453,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-2.0,1.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-2.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,1.0,0.0,0.0
454,1.0,1.0,-4.0,-1.0,1.0,0.0,6.0,-3.0,-1.0,-4.0,2.0,-2.0,3.0,-1.0,0.0,3.0,2.0,1.0,3.0,-3.0,2.0,0.0,2.0,-2.0,1.0,0.0,1.0,2.0,1.0,-1.0
455,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0
456,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
457,2.0,2.0,0.0,-2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.0,2.0,-2.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,-4.0,-2.0,-2.0,0.0,3.0
458,0.0,-4.0,-1.0,-2.0,0.0,1.0,-6.0,-3.0,0.0,2.0,-1.0,1.0,-2.0,-2.0,1.0,-1.0,-1.0,-7.0,-1.0,-4.0,-1.0,0.0,1.0,0.0,1.0,2.0,-2.0,-2.0,0.0,-1.0
459,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,1.0,-3.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,0.0,1.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0
460,1.0,0.0,0.0,3.0,-1.0,1.0,-2.0,0.0,-2.0,6.0,2.0,2.0,0.0,3.0,0.0,1.0,-1.0,3.0,-4.0,1.0,-2.0,1.0,-2.0,1.0,1.0,0.0,-3.0,3.0,0.0,-1.0
461,1.0,2.0,-1.0,3.0,4.0,0.0,6.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0,3.0,3.0,-2.0,3.0,-3.0,1.0,2.0,3.0,4.0,2.0,-2.0,5.0,0.0,2.0,0.0,5.0
462,0.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0
463,3.0,-1.0,4.0,-2.0,2.0,0.0,1.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,2.0,-1.0,1.0,-1.0,3.0,1.0,-1.0
464,0.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,-1.0,-2.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-3.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0
465,-2.0,-2.0,1.0,0.0,3.0,1.0,1.0,-1.0,-1.0,-2.0,4.0,1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,-2.0,1.0,3.0,-2.0,3.0,-3.0,0.0,5.0,-1.0,2.0,2.0,-2.0
466,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
467,2.0,1.0,1.0,0.0,0.0,2.0,-2.0,-1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0
468,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
469,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
470,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-2.0,0.0,1.0,0.0
471,0.0,-1.0,2.0,0.0,1.0,0.0,2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-3.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0
472,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-1.0,-3.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0
474,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.0,0.0,-2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
475,-1.0,0.0,-3.0,-1.0,-1.0,0.0,-2.0,3.0,0.0,-1.0,0.0,-2.0,1.0,0.0,0.0,-1.0,0.0,4.0,-4.0,2.0,-1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
476,1.0,0.0,-4.0,-2.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,1.0,2.0,1.0,1.0,-3.0,-1.0,-1.0,0.0,4.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0
477,-1.0,0.0,-4.0,3.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,2.0,-1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-2.0,2.0,1.0,0.0,1.0
478,-1.0,-2.0,-2.0,0.0,-1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,-1.0,2.0,3.0,4.0,4.0,0.0,2.0,1.0,3.0
479,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
480,1.0,1.0,0.0,0.0,-2.0,1.0,-3.0,-1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0
481,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,-1.0,2.0,-2.0,1.0,-2.0,-1.0,1.0,1.0,1.0,-3.0,-2.0,-3.0,0.0,0.0,-1.0,-3.0,1.0,0.0,1.0
482,1.0,2.0,4.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,-3.0,0.0,3.0,-2.0,2.0,1.0,-2.0
